ORIG_STATE,DEST_STATE,COMMODITY,MODE,VALUE
TN,TN,Wood,Air,182
PA,NY,Wood,Truck,1
CA,NY,Grains,Truck,2707
OH,VA,Grains,Truck,1624
IL,IL,Wood,Truck,53
KS,KS,Fertilizers,Truck,14818
CA,NY,Grains,Truck,10691
OR,WA,Grains,Truck,1904
PA,CA,Wood,Truck,1504
MI,TX,Wood,Truck,9533
MI,AZ,Wood,Truck,288
PA,PA,Fuels,Truck,1263
MI,MA,Wood,Truck,272
FL,CA,Wood,Truck,69535
TX,IL,Grains,Truck,9200
MA,NJ,Wood,Truck,1669
NJ,MD,Grains,Truck,1101
NV,CA,Wood,Truck,1805
VT,VT,Wood,Truck,254
MS,CA,Grains,Truck,19260
AK,AK,Wood,Air,139
NE,MA,Wood,Truck,1448
CA,MD,Grains,Truck,4979
NC,NC,Fertilizers,Truck,8232
WA,WI,Wood,Truck,13
CO,VA,Wood,Truck,121
MI,MI,Fertilizers,Truck,6586
AL,AL,Wood,Truck,1945
WA,WA,Wood,Truck,17612
TN,NJ,Grains,Truck,9337
TX,TX,Wood,Truck,78780
FL,OH,Wood,Truck,738
WY,WY,Wood,Truck,84
TX,TX,Wood,Truck,79
PA,NV,Wood,Truck,166
MD,MD,Grains,Truck,128
CA,CA,Wood,Truck,68
TN,AL,Grains,Truck,11704
TN,OK,Wood,Truck,47861
MI,MI,Wood,Truck,274
IL,NC,Fertilizers,Truck,12886
OH,OH,Fuels,Truck,1
IN,IN,Wood,Truck,1
OH,OH,Wood,Truck,165
TX,HI,Wood,Air,89
FL,TN,Fertilizers,Truck,3423
WA,CA,Grains,Truck,564
IL,NC,Wood,Truck,225
MI,MD,Wood,Truck,5
IN,PA,Wood,Truck,38399
MI,MI,Wood,Truck,18
AZ,AZ,Wood,Truck,54
PA,DE,Wood,Truck,23
IL,FL,Wood,Truck,26
FL,FL,Wood,Truck,1633
OR,NY,Grains,Truck,3985
IL,IL,Wood,Truck,30
UT,NV,Fuels,Truck,2011
WA,WI,Grains,Truck,426
MN,CT,Wood,Truck,3380
NY,NY,Grains,Truck,203
OR,CA,Wood,Air,1
TX,OR,Wood,Truck,2865
KY,UT,Wood,Truck,3718
FL,TN,Wood,Truck,1348
IA,MN,Grains,Truck,10697
OH,IL,Wood,Truck,1173
OH,IL,Wood,Truck,14914
OK,FL,Wood,Truck,17910
WV,WV,Wood,Truck,45
MS,LA,Fertilizers,Truck,6821
PA,WI,Wood,Truck,15753
MA,MA,Wood,Truck,10606
IL,NJ,Wood,Truck,51
MD,VA,Wood,Truck,17031
UT,UT,Fuels,Truck,2060
TX,TX,Fertilizers,Truck,11394
ID,OH,Grains,Rail,16282
IL,IL,Wood,Truck,2060
UT,UT,Wood,Truck,273
WI,MA,Wood,Truck,2006
IL,MO,Wood,Truck,1625
AZ,CA,Grains,Truck,17844
NY,IA,Wood,Truck,27081
OK,OK,Wood,Truck,191
NJ,MA,Grains,Truck,13514
MD,MD,Wood,Truck,1060
NC,NC,Wood,Truck,263
TN,VA,Wood,Truck,188
FL,FL,Fertilizers,Truck,9001
WI,WI,Grains,Truck,7179
KS,MI,Wood,Truck,154
TN,MI,Wood,Truck,18105
CT,CT,Wood,Truck,8086
PA,PA,Grains,Truck,3182
NY,NY,Grains,Truck,199
FL,WY,Grains,Truck,1097
FL,DC,Wood,Truck,91131
WI,WI,Grains,Truck,862
AL,MI,Fertilizers,Truck,17245
IL,CA,Wood,Truck,685
WA,CA,Fertilizers,Truck,3136
CA,OR,Grains,Truck,73121
PA,PA,Fuels,Truck,1674
KY,TN,Fuels,Truck,2118
MI,NY,Wood,Truck,24469
AR,KS,Fertilizers,Truck,8125
PA,CO,Wood,Truck,1808
FL,AL,Grains,Truck,612
OH,OH,Fuels,Truck,1129
PA,PA,Wood,Truck,1805
CA,KY,Grains,Truck,451
AZ,AZ,Wood,Truck,2907
OH,OH,Fuels,Truck,1237
OH,OR,Wood,Truck,16
AL,AL,Fuels,Truck,2384
FL,GA,Fertilizers,Truck,13298
IL,WV,Wood,Truck,2553
KY,WI,Wood,Air,14431
NM,NM,Wood,Truck,505
NJ,NJ,Wood,Truck,4
NY,CO,Wood,Truck,1
AL,NC,Wood,Truck,404
CT,NY,Wood,Truck,2611
UT,UT,Wood,Truck,3611
WI,WI,Wood,Truck,44
MN,MN,Wood,Truck,549
IL,DC,Wood,Truck,18
PA,CT,Wood,Truck,4106
VA,VA,Wood,Truck,126
FL,FL,Wood,Truck,1341
VA,NC,Fuels,Truck,508
TN,VA,Wood,Truck,89885
MT,MT,Wood,Truck,11
IN,OH,Wood,Truck,4827
CA,CA,Fertilizers,Truck,5449
IN,CA,Wood,Truck,4608
FL,PA,Wood,Truck,36397
IA,KS,Wood,Truck,4717
OK,IA,Fertilizers,Rail,47848
IN,IN,Wood,Truck,1958
NH,IL,Wood,Truck,2194
WY,WY,Wood,Truck,144
OR,WA,Fertilizers,Truck,14914
TX,IL,Wood,Truck,190
OH,OH,Wood,Truck,358
WI,TX,Wood,Truck,2528
OR,CO,Fertilizers,Truck,544
NY,NY,Wood,Truck,1
PA,NY,Fertilizers,Truck,564
ID,CA,Grains,Truck,4323
WA,WA,Fertilizers,Truck,11608
TX,TN,Wood,Truck,1354
IL,IL,Grains,Truck,9904
MN,MN,Wood,Truck,2138
LA,LA,Wood,Truck,86
IL,IL,Wood,Truck,9
MN,MN,Wood,Truck,549
KY,TX,Wood,Truck,439
NY,IL,Wood,Truck,12987
OH,IL,Fertilizers,Truck,36416
WA,TX,Fertilizers,Rail,85302
MO,MO,Wood,Truck,172
HI,HI,Fertilizers,Truck,18
ID,UT,Fertilizers,Truck,25338
WI,MN,Wood,Truck,3761
TX,TX,Wood,Truck,50
PA,PA,Fuels,Truck,3684
IA,IA,Grains,Truck,21070
MO,SC,Wood,Truck,136
NC,TX,Grains,Truck,43297
KY,KY,Fuels,Truck,932
CA,MS,Fertilizers,Truck,24215
TX,TX,Wood,Truck,50
CO,KS,Wood,Truck,101
TN,TN,Fertilizers,Truck,11572
PA,PA,Fertilizers,Truck,9489
CA,IL,Wood,Air,99
GA,MO,Grains,Truck,3569
MD,MD,Wood,Truck,2852
MS,MS,Wood,Truck,3762
NY,NY,Wood,Truck,5
NE,OH,Wood,Truck,5782
FL,TX,Wood,Truck,1519
UT,UT,Fuels,Truck,1094
OH,OH,Fertilizers,Truck,1920
MI,MI,Wood,Truck,4487
OH,OH,Grains,Truck,1348
NV,NY,Wood,Truck,389
NJ,NJ,Wood,Truck,15
IL,CA,Wood,Truck,3638
SD,MN,Wood,Truck,598
NY,NY,Wood,Truck,1
TX,TX,Wood,Truck,2369
OK,OK,Fertilizers,Truck,9806
CA,OK,Grains,Truck,28
AZ,FL,Grains,Truck,9234
NM,NC,Grains,Truck,33779
ID,MN,Grains,Truck,27804
WI,MO,Wood,Truck,2276
OH,OH,Fuels,Truck,1466
MN,IL,Wood,Truck,82363
CA,CO,Wood,Truck,24929
AL,AL,Grains,Truck,5735
VT,GA,Wood,Truck,44
OR,HI,Wood,Air,398
OH,GA,Grains,Truck,9339
FL,ND,Grains,Truck,12862
OR,MA,Grains,Truck,903
AL,AL,Fuels,Truck,1143
HI,HI,Wood,Truck,102
TX,MI,Fertilizers,Rail,11113
WI,MN,Grains,Truck,6795
SD,SD,Wood,Truck,13
TX,CA,Wood,Truck,3362
OK,CA,Wood,Truck,1370
CA,CA,Wood,Truck,3672
IN,IN,Grains,Truck,9982
MN,MN,Wood,Truck,84
OR,OR,Grains,Truck,210
GA,CA,Wood,Truck,207
NC,NC,Wood,Truck,1
FL,PA,Wood,Truck,969
IL,OH,Wood,Truck,21868
KY,IL,Wood,Truck,318
FL,FL,Fertilizers,Truck,10089
MA,TX,Wood,Truck,2266
NC,FL,Wood,Truck,5
IN,CA,Wood,Truck,13
NY,NY,Grains,Truck,1178
IL,IL,Wood,Truck,2448
WY,WY,Wood,Truck,382
WI,AR,Grains,Truck,3408
MA,NJ,Wood,Truck,11653
NJ,NY,Wood,Truck,435
MO,NJ,Wood,Truck,3729
NV,CA,Grains,Truck,5890
CA,CA,Grains,Truck,99030
WI,OH,Wood,Truck,247
IN,IN,Fuels,Truck,850
NY,NY,Wood,Truck,5
CA,WA,Fertilizers,Truck,92615
AZ,CA,Fertilizers,Truck,17871
NJ,NJ,Wood,Truck,89
PA,CA,Wood,Truck,30
NJ,NY,Wood,Truck,113
NC,VA,Grains,Truck,16261
KS,NE,Wood,Truck,876
MN,IA,Wood,Truck,113
DE,MA,Fertilizers,Truck,3067
NV,CA,Wood,Truck,44
CA,CA,Wood,Truck,5610
WI,WI,Grains,Truck,13707
KY,OH,Wood,Truck,5483
PA,PA,Wood,Truck,16120
IA,IA,Fertilizers,Truck,12327
MN,IL,Wood,Truck,8685
TX,NC,Wood,Truck,13476
PA,IL,Wood,Truck,873
SC,GA,Wood,Truck,5971
CA,CA,Grains,Truck,6514
CT,SC,Wood,Truck,4475
IA,NE,Fertilizers,Truck,21067
CA,CA,Grains,Truck,22
MI,MI,Wood,Truck,112
NJ,OH,Fertilizers,Truck,4195
NY,NY,Wood,Truck,3333
MO,MO,Fertilizers,Truck,10912
NY,NJ,Wood,Truck,7508
PA,PA,Wood,Truck,1008
TX,TX,Fertilizers,Rail,39139
PA,PA,Fuels,Truck,2321
FL,FL,Wood,Truck,967
FL,FL,Wood,Truck,3244
FL,AZ,Wood,Truck,1316
VA,VA,Wood,Truck,1891
AK,AK,Wood,Air,1801
TX,CA,Grains,Truck,9967
OH,OH,Wood,Truck,445
IN,IN,Grains,Truck,12649
ID,ID,Wood,Truck,27
MI,WI,Wood,Truck,78399
NE,NE,Grains,Truck,13903
SD,MA,Wood,Truck,5992
CA,CA,Wood,Truck,3068
PA,PA,Grains,Truck,1920
VT,VT,Wood,Truck,116
AL,MN,Fertilizers,Truck,30997
AR,CO,Wood,Truck,491
MO,IL,Fertilizers,Truck,9429
TX,IL,Grains,Truck,14439
CO,WA,Wood,Truck,1139
KY,KY,Fuels,Rail,530791
IN,IN,Fuels,Truck,987
IL,CA,Wood,Truck,1897
WV,WV,Fuels,Truck,2106
MN,MN,Fertilizers,Truck,925
KY,KY,Wood,Truck,2404
WI,NY,Wood,Truck,127
AL,AL,Fuels,Truck,1756
VA,NY,Wood,Truck,510
TX,NJ,Wood,Truck,164
CO,NM,Fuels,Truck,1513
FL,FL,Grains,Truck,22742
OR,WA,Wood,Truck,20399
FL,FL,Wood,Truck,5130
MA,IL,Wood,Truck,25405
IN,IN,Fertilizers,Truck,5490
OH,OH,Fuels,Truck,1662
AL,AL,Fuels,Truck,2189
IN,NC,Wood,Truck,1118
MD,MD,Grains,Truck,296
NY,NY,Wood,Truck,49
IA,IA,Grains,Truck,15237
IA,IA,Wood,Truck,444
WI,WI,Wood,Truck,1
AL,TX,Fuels,Rail,2710894
DE,DE,Wood,Truck,361
GA,GA,Grains,Truck,28929
WI,IL,Wood,Truck,4372
MI,OK,Wood,Truck,4163
NJ,NJ,Wood,Truck,108
WV,WV,Wood,Truck,232
NM,NM,Wood,Truck,122
MA,KS,Wood,Truck,239
IA,VT,Wood,Truck,2535
CA,IL,Grains,Truck,110
CA,CA,Fertilizers,Truck,5628
IA,MN,Wood,Truck,52543
OK,MS,Fertilizers,Truck,9628
AL,WI,Fertilizers,Truck,12128
MI,MS,Wood,Truck,35
KY,GA,Fuels,Rail,900060
CA,CA,Wood,Air,329
OH,OH,Fuels,Rail,883
CA,CA,Grains,Truck,79524
NC,OH,Wood,Truck,14145
MN,AL,Wood,Truck,420
IN,IN,Fuels,Truck,800
OH,IN,Wood,Truck,96
MT,MI,Fuels,Rail,224785
IN,NE,Wood,Truck,13556
WA,NY,Grains,Truck,2000
OH,AL,Wood,Truck,1
MI,MI,Wood,Truck,82
VA,VA,Wood,Truck,37902
MA,MD,Wood,Truck,10167
LA,NJ,Wood,Truck,18074
TN,IN,Wood,Truck,1271
CA,CA,Wood,Truck,1283
AL,NY,Wood,Truck,4632
MI,MI,Wood,Truck,82
MO,MO,Wood,Truck,1226
MA,MA,Wood,Truck,232
KS,KS,Fertilizers,Truck,2449
CA,KS,Grains,Truck,82520
OH,KY,Wood,Truck,474
NJ,AZ,Wood,Truck,174
TN,TX,Wood,Air,145
IL,IL,Wood,Truck,2114
WA,NC,Grains,Air,60
AR,WA,Wood,Truck,1812
WI,IL,Wood,Truck,3968
CA,MI,Fertilizers,Truck,47904
FL,LA,Grains,Truck,1057
VA,VA,Wood,Air,1582
NC,VA,Wood,Truck,9400
SD,SD,Grains,Truck,11480
IN,CO,Wood,Truck,1038
CA,CA,Wood,Truck,2140
CO,WA,Wood,Truck,18454
DE,DE,Wood,Truck,132
AL,FL,Fertilizers,Truck,12004
NC,NC,Grains,Truck,10846
KS,CT,Wood,Truck,760180
GA,GA,Wood,Truck,556
MN,MN,Wood,Truck,37886
TN,PA,Wood,Truck,11115
NY,NY,Wood,Truck,5227
MD,VT,Wood,Truck,15456
NJ,PA,Wood,Truck,3981
TN,KY,Grains,Truck,13586
TX,TX,Grains,Truck,386
IL,WI,Grains,Truck,14459
ID,CA,Grains,Truck,33747
IL,FL,Wood,Truck,1884
CA,CA,Grains,Truck,13641
FL,MT,Fertilizers,Rail,37254
WA,MT,Wood,Air,774
KS,MO,Wood,Truck,3288
DE,DE,Wood,Truck,303
WI,GA,Wood,Truck,1918
IL,IL,Wood,Truck,8
MS,MS,Fertilizers,Truck,2986
AZ,WI,Wood,Truck,3516
TX,WY,Wood,Truck,1052
PA,ME,Wood,Truck,23
MN,WA,Grains,Rail,58701
MO,KS,Wood,Truck,57546
ID,ID,Fertilizers,Truck,2048
NC,CO,Wood,Truck,17897
ID,KY,Grains,Truck,45848
FL,IL,Grains,Truck,24
CT,NJ,Wood,Truck,3396
IA,IA,Grains,Truck,658
NC,AZ,Wood,Truck,19841
IA,MO,Wood,Truck,1894
IL,MO,Grains,Truck,11223
VA,IN,Wood,Truck,1561
GA,NJ,Wood,Truck,20825
GA,AR,Grains,Rail,155744
IN,IN,Fuels,Truck,1423
PA,MD,Wood,Truck,266
OK,OK,Wood,Truck,596
NY,TN,Wood,Truck,38384
CA,CA,Wood,Truck,8
SD,MN,Grains,Truck,12697
CA,NY,Wood,Truck,20584
MT,ID,Fertilizers,Rail,8855
CA,NV,Grains,Truck,8443
NY,NY,Wood,Truck,22709
IL,OK,Wood,Truck,2375
WI,NC,Wood,Truck,1211
IN,IN,Grains,Truck,16914
SC,TN,Wood,Truck,18
WV,VA,Fuels,Rail,771977
WY,NE,Fuels,Rail,248335
NJ,MO,Wood,Truck,16
AL,AL,Fuels,Truck,4011
LA,LA,Fertilizers,Truck,9730
SC,GA,Wood,Truck,3913
PA,TN,Wood,Truck,5688
KS,ID,Wood,Truck,3644
OR,MO,Grains,Truck,21841
KS,KS,Fertilizers,Truck,9930
ID,ID,Grains,Truck,10960
IN,FL,Wood,Truck,5712
KY,KY,Fuels,Truck,1554
TX,TX,Wood,Truck,2685
FL,LA,Wood,Truck,88
KY,IL,Wood,Truck,37178
ID,AL,Grains,Truck,1710
NV,CA,Wood,Truck,3041
GA,GA,Grains,Truck,29328
CA,CA,Wood,Truck,4949
TX,FL,Wood,Truck,1709
CA,CA,Wood,Truck,5348
IL,IL,Fertilizers,Truck,13516
VA,OH,Wood,Truck,3326
IN,IN,Fuels,Truck,1203
IL,IL,Wood,Truck,10420
OK,LA,Wood,Truck,119
IN,TX,Wood,Truck,55
MI,NY,Wood,Truck,1074
TX,TX,Grains,Truck,37971
OK,OK,Grains,Truck,18
TX,TX,Wood,Truck,98
TN,KY,Wood,Truck,1210
IA,IA,Wood,Truck,319
CA,CA,Wood,Truck,2961
NH,NY,Wood,Truck,980
MI,AZ,Wood,Truck,308499
FL,AL,Wood,Truck,789
OK,KS,Fertilizers,Truck,15038
OH,OH,Wood,Truck,10420
IN,TX,Wood,Truck,12742
OR,IL,Grains,Truck,3048
NJ,DE,Wood,Truck,13661
IN,IN,Grains,Truck,15059
CA,MA,Grains,Truck,3515
IN,CA,Grains,Truck,6164
KY,KY,Fuels,Truck,913
OR,MO,Grains,Rail,26981
WA,NJ,Wood,Truck,13
CA,CA,Wood,Truck,278
WY,WY,Fuels,Rail,329598
OH,WA,Wood,Truck,23694
WA,WA,Wood,Truck,4
VA,CA,Wood,Truck,133
VA,PA,Wood,Air,65
IL,CA,Wood,Truck,22900
MI,AZ,Wood,Truck,22
IN,IN,Fuels,Truck,891
AL,NC,Fertilizers,Truck,7963
WI,OH,Wood,Truck,2320
IA,IL,Wood,Truck,3534
IL,IL,Wood,Truck,698
MO,MO,Wood,Truck,20546
MN,WI,Wood,Truck,562
MI,MI,Wood,Truck,118
TN,OH,Wood,Truck,1189
PA,MA,Wood,Truck,479
PA,SC,Fertilizers,Truck,289
SC,SC,Fertilizers,Truck,19891
AR,TN,Wood,Truck,9494
GA,GA,Grains,Rail,52830
TX,TX,Wood,Truck,791
IL,IL,Wood,Truck,23700
IL,IN,Wood,Truck,1984
WA,CA,Grains,Truck,57437
WI,IL,Grains,Truck,30493
UT,NE,Wood,Truck,1113
MD,MD,Grains,Truck,12189
PA,MA,Grains,Truck,31239
AL,TN,Wood,Truck,8851
NY,PA,Wood,Truck,24413
CA,CA,Wood,Truck,2262
KY,FL,Wood,Truck,140
MO,IL,Wood,Truck,7994
MD,MD,Grains,Truck,850
MI,TX,Wood,Truck,5053
ID,FL,Grains,Rail,17539
TX,TX,Grains,Truck,7122
ME,VA,Grains,Truck,3798
OR,OR,Fertilizers,Truck,4679
WA,CA,Wood,Truck,2192
NH,FL,Wood,Truck,1
NM,NM,Wood,Truck,7234
IL,IL,Grains,Truck,14214
LA,MI,Wood,Truck,40644
CA,CA,Fertilizers,Truck,782
NC,ID,Wood,Truck,37771
IN,IN,Fuels,Truck,2056
WI,MN,Grains,Truck,7794
MN,WI,Wood,Truck,438
WA,MN,Wood,Truck,11111
NC,NC,Wood,Truck,1
MA,CT,Wood,Truck,688
NJ,NJ,Wood,Truck,222
KY,NJ,Wood,Truck,1899
NV,CA,Wood,Truck,5364
AL,AL,Fuels,Truck,3254
TX,TX,Wood,Truck,5579
MI,MI,Wood,Truck,229
KS,IL,Wood,Truck,4588
IL,IL,Wood,Truck,1
AZ,ID,Grains,Truck,1749
MA,IA,Wood,Truck,7830
PA,PA,Fuels,Truck,844
CA,MN,Grains,Truck,525
OH,OH,Fuels,Truck,833
PA,PA,Fuels,Truck,2759
WI,GA,Wood,Truck,9767
MD,PA,Wood,Truck,109435
MI,VA,Wood,Truck,2
OH,OH,Fuels,Truck,1022
ME,VA,Grains,Truck,11280
IL,IL,Wood,Truck,14454
MN,WA,Wood,Truck,1740
MO,MO,Grains,Truck,13135
OH,OH,Fuels,Truck,980
TX,TX,Fertilizers,Truck,8937
GA,VA,Grains,Rail,192841
TX,TX,Wood,Truck,528
WV,AZ,Wood,Truck,904
CT,CT,Grains,Truck,34877
HI,HI,Grains,Truck,120
OH,CA,Wood,Truck,16
WI,WI,Wood,Truck,69027
TN,NH,Wood,Truck,33256
AR,AR,Grains,Truck,12122
GA,GA,Wood,Truck,20818
NC,IL,Wood,Truck,9624
NJ,IN,Grains,Truck,1718
CA,NC,Wood,Truck,2175
TN,AR,Fertilizers,Truck,5267
PA,IL,Wood,Truck,39173
GA,MI,Grains,Truck,12117
NC,KY,Wood,Truck,615
UT,TX,Wood,Truck,12839
MI,OH,Grains,Truck,11482
VA,VA,Wood,Truck,41
IN,IN,Grains,Truck,16634
IL,IL,Wood,Truck,8007
NJ,NJ,Wood,Truck,567
NC,IL,Wood,Truck,21
FL,FL,Grains,Truck,1982
OH,MI,Fertilizers,Truck,2739
WY,MI,Wood,Truck,1291
IN,WI,Grains,Truck,25412
IL,IL,Fuels,Truck,1023
OK,FL,Fertilizers,Truck,10104
FL,FL,Grains,Truck,894
ID,ND,Grains,Truck,14481
ND,ND,Wood,Truck,80
GA,GA,Wood,Truck,1922
MI,TX,Wood,Truck,652
FL,OH,Wood,Truck,1840
SD,MN,Fertilizers,Truck,12950
VA,VA,Wood,Truck,1992
IN,IN,Grains,Truck,11543
NC,TX,Wood,Truck,16920
PA,PA,Wood,Truck,308
GA,GA,Wood,Truck,110
WY,TX,Fuels,Rail,162226
UT,ID,Fertilizers,Truck,19216
CA,CA,Wood,Truck,60
OH,SC,Fertilizers,Truck,724
MA,NY,Wood,Truck,1048
ID,WA,Grains,Truck,9180
AL,MS,Grains,Truck,8076
IN,CA,Wood,Truck,526
MA,NE,Wood,Truck,63857
TX,NM,Wood,Truck,5916
PA,CA,Wood,Truck,3287
NH,VT,Wood,Truck,1201
AL,AL,Fuels,Truck,1965
TX,TX,Wood,Truck,5
IL,MO,Wood,Truck,4818
UT,UT,Fertilizers,Truck,22942
